assignment_strategy,route_postprocess,enable_tw_repair,vehicle_scan_mode,feasibility_rate,objective_mean,travel_mean,runtime_mean,strategy_signature
regret,or_opt,True,feasibility_filtered,1.0,99954.2,130.2,12.662397233594676,assign=regret|route=or_opt|tw_repair=True|scan=feasibility_filtered|qubo_cap=15
ffd,or_opt,True,feasibility_filtered,1.0,100162.8,134.8,12.55161607520422,assign=ffd|route=or_opt|tw_repair=True|scan=feasibility_filtered|qubo_cap=15
ffd,or_opt,True,fixed,1.0,100162.8,134.8,12.557526516600046,assign=ffd|route=or_opt|tw_repair=True|scan=fixed|qubo_cap=15
ffd,two_opt,True,feasibility_filtered,1.0,119789.2,137.2,10.393948599800932,assign=ffd|route=two_opt|tw_repair=True|scan=feasibility_filtered|qubo_cap=15
regret,two_opt,True,feasibility_filtered,1.0,121867.6,137.6,10.219308266596636,assign=regret|route=two_opt|tw_repair=True|scan=feasibility_filtered|qubo_cap=15
tw_pressure,or_opt,True,feasibility_filtered,1.0,129611.8,135.8,12.83792074159137,assign=tw_pressure|route=or_opt|tw_repair=True|scan=feasibility_filtered|qubo_cap=15
tw_pressure,or_opt,True,fixed,1.0,129611.8,135.8,12.875899825192755,assign=tw_pressure|route=or_opt|tw_repair=True|scan=fixed|qubo_cap=15
tw_pressure,two_opt,True,feasibility_filtered,1.0,149955.0,141.0,10.435385641577886,assign=tw_pressure|route=two_opt|tw_repair=True|scan=feasibility_filtered|qubo_cap=15
tw_pressure,two_opt,True,fixed,1.0,149955.0,141.0,10.517768158396938,assign=tw_pressure|route=two_opt|tw_repair=True|scan=fixed|qubo_cap=15
regret,or_opt,True,fixed,0.8,98932.2,130.2,12.61778463360388,assign=regret|route=or_opt|tw_repair=True|scan=fixed|qubo_cap=15
regret,two_opt,True,fixed,0.8,121194.0,138.0,10.229098650201925,assign=regret|route=two_opt|tw_repair=True|scan=fixed|qubo_cap=15
ffd,two_opt,True,fixed,0.6,111567.2,135.2,10.387751133402343,assign=ffd|route=two_opt|tw_repair=True|scan=fixed|qubo_cap=15
regret,none,False,feasibility_filtered,0.2,381174.0,186.0,9.412077074800616,assign=regret|route=none|tw_repair=False|scan=feasibility_filtered|qubo_cap=15
regret,none,False,fixed,0.2,381174.0,186.0,9.45245267500286,assign=regret|route=none|tw_repair=False|scan=fixed|qubo_cap=15
tw_pressure,none,False,fixed,0.0,415325.8,191.8,9.599146608397133,assign=tw_pressure|route=none|tw_repair=False|scan=fixed|qubo_cap=15
tw_pressure,none,False,feasibility_filtered,0.0,415325.8,191.8,9.7191799581924,assign=tw_pressure|route=none|tw_repair=False|scan=feasibility_filtered|qubo_cap=15
ffd,none,False,feasibility_filtered,0.0,429239.4,199.4,9.391177075193264,assign=ffd|route=none|tw_repair=False|scan=feasibility_filtered|qubo_cap=15
ffd,none,False,fixed,0.0,429239.4,199.4,9.420724500407232,assign=ffd|route=none|tw_repair=False|scan=fixed|qubo_cap=15
