assignment_strategy,route_postprocess,enable_tw_repair,vehicle_scan_mode,n_runs,feasibility_rate,cap_ok_rate,tw_violation_ratio_mean,objective_mean,objective_std,objective_min,objective_p25,objective_p75,travel_mean,tw_penalty_mean,runtime_mean,runtime_std,selected_k_mean,strategy_signature
regret,or_opt,True,feasibility_filtered,5,1.0,1.0,0.664,99954.2,2252.6235726370264,96699.0,98201.0,101713.0,130.2,98936.0,23.341586849599842,1.9578773166449122,7.4,assign=regret|post=or_opt|tw_repair=True|scan=feasibility_filtered|qubo_cap=15
ffd,or_opt,True,fixed,5,1.0,1.0,0.644,100162.8,2039.366999831075,97735.0,98011.0,101587.0,134.8,99212.0,22.2488394998014,1.315316036540349,6.8,assign=ffd|post=or_opt|tw_repair=True|scan=fixed|qubo_cap=15
ffd,or_opt,True,feasibility_filtered,5,1.0,1.0,0.644,100162.8,2039.366999831075,97735.0,98011.0,101587.0,134.8,99212.0,26.742138650000562,1.8329267339007158,6.8,assign=ffd|post=or_opt|tw_repair=True|scan=feasibility_filtered|qubo_cap=15
ffd,two_opt,True,feasibility_filtered,5,1.0,1.0,0.676,119789.2,8153.609149327676,110435.0,113745.0,125732.0,137.2,119004.0,18.393909791804617,0.517225988083904,5.4,assign=ffd|post=two_opt|tw_repair=True|scan=feasibility_filtered|qubo_cap=15
regret,two_opt,True,feasibility_filtered,5,1.0,1.0,0.652,121867.6,5579.446517352774,115570.0,118094.0,125781.0,137.6,121034.0,16.135643783200067,2.0391800120818036,5.8,assign=regret|post=two_opt|tw_repair=True|scan=feasibility_filtered|qubo_cap=15
tw_pressure,or_opt,True,fixed,5,1.0,1.0,0.628,129611.8,2651.6187810467777,126065.0,127417.0,132154.0,135.8,128660.0,18.830871274799573,1.4607466945068892,6.8,assign=tw_pressure|post=or_opt|tw_repair=True|scan=fixed|qubo_cap=15
tw_pressure,or_opt,True,feasibility_filtered,5,1.0,1.0,0.628,129611.8,2651.6187810467777,126065.0,127417.0,132154.0,135.8,128660.0,19.67164210820338,1.4223144951253266,6.8,assign=tw_pressure|post=or_opt|tw_repair=True|scan=feasibility_filtered|qubo_cap=15
tw_pressure,two_opt,True,feasibility_filtered,5,1.0,1.0,0.648,149955.0,6585.722587537377,141884.0,142251.0,154167.0,141.0,149022.0,14.409071825200225,0.9020156703034569,6.6,assign=tw_pressure|post=two_opt|tw_repair=True|scan=feasibility_filtered|qubo_cap=15
tw_pressure,two_opt,True,fixed,5,1.0,1.0,0.648,149955.0,6585.722587537377,141884.0,142251.0,154167.0,141.0,149022.0,16.624431283399463,0.6409945770459511,6.6,assign=tw_pressure|post=two_opt|tw_repair=True|scan=fixed|qubo_cap=15
regret,or_opt,True,fixed,5,0.8,1.0,0.676,98932.2,2378.4998969939015,96603.0,96699.0,100289.0,130.2,97986.0,23.99103126700502,1.3685462756121725,6.8,assign=regret|post=or_opt|tw_repair=True|scan=fixed|qubo_cap=15
regret,two_opt,True,fixed,5,0.8,1.0,0.668,121194.0,4579.526831453223,115570.0,118094.0,125781.0,138.0,120288.0,15.41422636640491,0.27552538805076643,6.4,assign=regret|post=two_opt|tw_repair=True|scan=fixed|qubo_cap=15
ffd,two_opt,True,fixed,5,0.6,1.0,0.7,111567.2,4636.089835195173,103137.0,110435.0,114013.0,135.2,110688.0,17.945226083608578,0.7864253634660566,6.2,assign=ffd|post=two_opt|tw_repair=True|scan=fixed|qubo_cap=15
regret,none,False,feasibility_filtered,5,0.2,1.0,0.744,381174.0,41315.224762791746,316627.0,372894.0,390349.0,186.0,380124.0,20.211440158396726,1.8725287917593152,7.2,assign=regret|post=none|tw_repair=False|scan=feasibility_filtered|qubo_cap=15
regret,none,False,fixed,5,0.2,1.0,0.744,381174.0,41315.224762791746,316627.0,372894.0,390349.0,186.0,380124.0,20.613070899999002,0.2837234229952411,7.2,assign=regret|post=none|tw_repair=False|scan=fixed|qubo_cap=15
tw_pressure,none,False,feasibility_filtered,5,0.0,1.0,0.76,415325.8,38014.11452289794,347673.0,413496.0,436437.0,191.8,414366.0,15.74247264220612,1.8824844437217976,6.4,assign=tw_pressure|post=none|tw_repair=False|scan=feasibility_filtered|qubo_cap=15
tw_pressure,none,False,fixed,5,0.0,1.0,0.76,415325.8,38014.11452289794,347673.0,413496.0,436437.0,191.8,414366.0,17.66190812480054,1.0174588140123217,6.4,assign=tw_pressure|post=none|tw_repair=False|scan=fixed|qubo_cap=15
ffd,none,False,feasibility_filtered,5,0.0,1.0,0.784,429239.4,80819.37008069291,357833.0,375030.0,447789.0,199.4,428416.0,16.3289712829981,0.34508237971542355,5.2,assign=ffd|post=none|tw_repair=False|scan=feasibility_filtered|qubo_cap=15
ffd,none,False,fixed,5,0.0,1.0,0.784,429239.4,80819.37008069291,357833.0,375030.0,447789.0,199.4,428416.0,17.96444929140271,1.166619438769689,5.2,assign=ffd|post=none|tw_repair=False|scan=fixed|qubo_cap=15
