stage,multiplier,P,seed,feasible_raw,row_violations,col_violations,travel,gap_vs_2opt_ratio,gap_vs_2opt_pct
A,2.0,76.0,1,True,0,0,58.0,1.7575757575757576,75.75757575757575
A,2.0,76.0,2,True,0,0,61.0,1.8484848484848484,84.84848484848484
A,2.0,76.0,0,True,0,0,62.0,1.878787878787879,87.87878787878788
A,2.0,76.0,4,True,0,0,66.0,2.0,100.0
A,2.0,76.0,3,True,0,0,70.0,2.121212121212121,112.12121212121211
A,3.0,114.0,8,True,0,0,50.0,1.5151515151515151,51.515151515151516
A,3.0,114.0,6,True,0,0,54.0,1.6363636363636365,63.63636363636363
A,3.0,114.0,9,True,0,0,54.0,1.6363636363636365,63.63636363636363
A,3.0,114.0,5,True,0,0,60.0,1.8181818181818181,81.81818181818183
A,3.0,114.0,7,True,0,0,61.0,1.8484848484848484,84.84848484848484
A,5.0,190.0,10,True,0,0,46.0,1.393939393939394,39.39393939393939
A,5.0,190.0,11,True,0,0,56.0,1.696969696969697,69.6969696969697
A,5.0,190.0,14,True,0,0,57.0,1.7272727272727273,72.72727272727273
A,5.0,190.0,12,True,0,0,65.0,1.9696969696969697,96.96969696969697
A,5.0,190.0,13,True,0,0,65.0,1.9696969696969697,96.96969696969697
A,8.0,304.0,15,True,0,0,54.0,1.6363636363636365,63.63636363636363
A,8.0,304.0,19,True,0,0,58.0,1.7575757575757576,75.75757575757575
A,8.0,304.0,16,True,0,0,59.0,1.7878787878787878,78.78787878787878
A,8.0,304.0,18,True,0,0,60.0,1.8181818181818181,81.81818181818183
A,8.0,304.0,17,True,0,0,61.0,1.8484848484848484,84.84848484848484
A,10.0,380.0,21,True,0,0,52.0,1.5757575757575757,57.57575757575758
A,10.0,380.0,20,True,0,0,56.0,1.696969696969697,69.6969696969697
A,10.0,380.0,22,True,0,0,56.0,1.696969696969697,69.6969696969697
A,10.0,380.0,23,True,0,0,57.0,1.7272727272727273,72.72727272727273
A,10.0,380.0,24,True,0,0,64.0,1.9393939393939394,93.93939393939394
B,0.5,19.0,33,True,0,0,44.0,1.3333333333333333,33.33333333333333
B,0.5,19.0,31,True,0,0,49.0,1.4848484848484849,48.484848484848484
B,0.5,19.0,43,True,0,0,49.0,1.4848484848484849,48.484848484848484
B,0.5,19.0,30,True,0,0,51.0,1.5454545454545454,54.54545454545454
B,0.5,19.0,44,True,0,0,51.0,1.5454545454545454,54.54545454545454
B,0.5,19.0,36,True,0,0,52.0,1.5757575757575757,57.57575757575758
B,0.5,19.0,39,True,0,0,52.0,1.5757575757575757,57.57575757575758
B,0.5,19.0,38,True,0,0,53.0,1.606060606060606,60.60606060606061
B,0.5,19.0,42,True,0,0,53.0,1.606060606060606,60.60606060606061
B,0.5,19.0,28,True,0,0,54.0,1.6363636363636365,63.63636363636363
B,0.5,19.0,29,True,0,0,54.0,1.6363636363636365,63.63636363636363
B,0.5,19.0,41,True,0,0,54.0,1.6363636363636365,63.63636363636363
B,0.5,19.0,27,True,0,0,55.0,1.6666666666666667,66.66666666666666
