stage,multiplier,P,runs,feasible_rate,best_travel,mean_travel,worst_travel,best_gap_ratio,best_gap_pct,meets_1p05
B,0.5,19.0,20,1.0,44.0,53.65,60.0,1.3333333333333333,33.33333333333333,False
B,1.0,38.0,20,1.0,46.0,56.0,67.0,1.393939393939394,39.39393939393939,False
B,1.5,57.0,20,1.0,49.0,57.95,70.0,1.4848484848484849,48.484848484848484,False
B,2.0,76.0,20,1.0,47.0,55.5,71.0,1.4242424242424243,42.42424242424242,False
B,3.0,114.0,20,1.0,45.0,54.05,61.0,1.3636363636363635,36.36363636363637,False
B,5.0,190.0,20,1.0,45.0,54.25,61.0,1.3636363636363635,36.36363636363637,False
B,8.0,304.0,20,1.0,54.0,59.1,67.0,1.6363636363636365,63.63636363636363,False
B,10.0,380.0,20,1.0,50.0,63.35,72.0,1.5151515151515151,51.515151515151516,False
B,12.0,456.0,20,1.0,45.0,60.1,68.0,1.3636363636363635,36.36363636363637,False
B,15.0,570.0,20,1.0,53.0,61.25,72.0,1.606060606060606,60.60606060606061,False
