question,group,setting,seed,objective,travel,tw_penalty,runtime_sec,feasible,tw_violation_ratio,selected_k,cap,cluster_size,seed_count_per_vehicle,min_k,max_k
Q3,qubo_cap,qubo_cap=10,0,6600665.0,95.0,6600570.0,170.61982825002633,1,0.88,,10,10,,,
Q3,qubo_cap,qubo_cap=12,0,6600665.0,95.0,6600570.0,190.18625541601796,1,0.88,,12,10,,,
Q3,qubo_cap,qubo_cap=15,0,6600665.0,95.0,6600570.0,164.91287091601407,1,0.88,,15,10,,,
Q3,cluster_size,cluster_size=8,0,5858011.0,81.0,5857930.0,233.84294358399347,1,0.9,,15,8,,,
Q3,cluster_size,cluster_size=10,0,6600665.0,95.0,6600570.0,167.37422237501596,1,0.88,,15,10,,,
Q3,cluster_size,cluster_size=12,0,7207428.0,108.0,7207320.0,177.90976858400973,1,0.88,,15,12,,,
Q4,qubo_cap,qubo_cap=10,0,96579.0,129.0,95850.0,125.42729041702114,1,0.68,5,10,,1,5,8
Q4,qubo_cap,qubo_cap=12,0,96579.0,129.0,95850.0,115.91166641699965,1,0.68,5,12,,1,5,8
Q4,qubo_cap,qubo_cap=15,0,96579.0,129.0,95850.0,122.4750802500057,1,0.68,5,15,,1,5,8
Q4,vehicle_scan_range,k_range=5-8,0,96579.0,129.0,95850.0,126.67874825000763,1,0.68,5,15,,1,5,8
Q4,vehicle_scan_range,k_range=6-9,0,97260.0,130.0,96170.0,127.6367944579979,1,0.68,8,15,,1,6,9
Q4,vehicle_scan_range,k_range=5-9,0,96579.0,129.0,95850.0,159.3504219999886,1,0.68,5,15,,1,5,9
Q4,seed_count_per_vehicle,seed_count_per_vehicle=1,0,96579.0,129.0,95850.0,116.31800345800002,1,0.68,5,15,,1,5,8
Q4,seed_count_per_vehicle,seed_count_per_vehicle=2,0,99411.0,131.0,98320.0,122.95717116698506,1,0.68,8,15,,2,5,8
